fema,year,success_rate,percent_enabled,spatial_precision,cust_coverage,max_covered,total_customers,DQI
1,2018,97.90162241,99.31480894,75.01798921,92.28119728,6703631,7264352,70.31838721
1,2019,99.7525035,99.5231375,75.08081001,93.21813664,6795247,7289619,90.05298951
1,2020,99.72247256,68.97442231,75.05521995,95.65457464,7114749,7437960,61.80893648
1,2021,99.83390029,99.52484797,75.07856513,98.01017423,7092716,7236714,94.04125192
1,2022,99.75715512,99.92144004,74.52253408,98.14823495,7224192,7360491,93.67594916
2,2018,99.41387203,98.74394643,75.02423028,88.06519953,12181720,13832615,82.44133757
2,2019,99.56254035,99.80627456,75.13747888,87.86884376,12181720,13863526,84.86949315
2,2020,99.61862575,99.99152561,75.13747888,88.20272075,12216397,13850363,85.84146522
2,2021,99.19326726,98.73431085,75.12279216,98.909214,13774654,13926563,87.32804413
2,2022,99.69589574,99.84726698,75.12279216,98.90756697,13826360,13979072,93.53834996
3,2018,99.8308518,97.95451262,78.63349602,95.87733839,13678654,14266827,91.44284886
3,2019,99.76161963,98.67876843,78.62132624,96.34434819,13779740,14302593,91.7421133
3,2020,98.90838734,99.93588241,78.76556787,97.3339004,13926150,14307605,84.90639616
3,2021,99.74333651,99.5737511,78.75679223,97.24776418,14026576,14423546,93.0291008
3,2022,99.51444384,97.17104179,78.71345441,97.48651876,14149788,14514610,88.52014795
4,2018,98.8617574,98.11830114,78.19125225,85.27438726,27610605,32378544,74.6747091
4,2019,98.79425677,86.89751824,71.36522977,89.21586957,29304643,32846895,65.04779225
4,2020,98.70030505,99.56218769,76.82317738,90.13536844,30044515,33332659,77.48516049
4,2021,99.45630587,99.06303468,76.91933223,90.77199729,30614057,33726323,85.15516165
4,2022,98.92867038,98.15354208,76.74217715,91.23627654,31073335,34058092,79.1729992
5,2018,98.59272604,98.7974926,69.1312467,86.91456581,21888639,25184086,72.75676896
5,2019,99.52078705,96.31246545,69.48589303,90.18785259,22569649,25025154,82.02633977
5,2020,99.32712911,99.8015206,72.84169463,90.47816553,22981578,25400137,83.94823951
5,2021,99.53670147,99.56829739,80.90949629,91.38590571,23158764,25341724,87.26833565
5,2022,99.53835281,99.8449308,80.85744686,91.51657227,23304977,25465308,87.63352589
6,2018,99.02981323,98.23037225,80.39504379,88.65545551,22703835,25609067,78.94663535
6,2019,98.76401242,96.50839059,78.14844375,91.54980066,23434831,25597905,76.24702266
6,2020,98.77970349,99.37065893,78.04242222,69.62473177,18552582,26646540,64.72825374
6,2021,98.87819004,99.49117197,77.9400445,92.05467392,20130830,21868341,80.60931251
6,2022,99.5794152,99.64101573,74.35801028,92.11316146,20095224,21815801,87.59874393
7,2018,98.40167966,98.46679463,75.89343191,75.0399271,5486037,7310824,63.34272699
7,2019,97.58367024,90.03165274,63.59970572,82.11360306,6003181,7310824,50.25717807
7,2020,99.00677242,99.9280461,77.08478214,84.39048633,6062237,7183555,77.21357768
7,2021,99.70164041,99.60970783,77.08478214,84.44927528,6099028,7222120,84.04375561
7,2022,99.61830719,99.76509927,78.38507125,79.02349858,6145373,7776640,79.90014928
8,2018,98.27922579,98.73334861,72.45206565,70.49849708,4013177,5692571,59.01503828
8,2019,99.3677341,85.72848132,60.9019193,78.51879993,4505660,5738320,61.68686012
8,2020,98.46737443,99.73954084,61.64857588,79.35673441,4617716,5818934,66.66241934
8,2021,99.03648941,99.38870555,73.20739614,79.26527464,4689684,5916442,73.23334239
8,2022,99.6938518,99.61635373,73.20739614,80.31514124,4758591,5924899,80.86082946
9,2018,96.08485638,85.76157652,96.08479699,90.16303617,18242129,20232381,39.36376378
9,2019,98.15890036,96.5058514,75.88914273,91.63383106,19006659,20741967,69.89169365
9,2020,97.88458637,98.92927966,89.04706291,92.95629484,19280964,20741967,71.61896129
9,2021,98.53227447,99.65329588,89.16243961,94.95987592,19518635,20554613,80.26706104
9,2022,99.20252932,99.95118806,89.16243961,94.94688027,19699254,20747658,87.3943682
10,2018,98.71680069,99.09645994,90.79712644,74.89782377,4970099,6635839,68.56789166
10,2019,99.14904098,91.70166237,79.9204552,86.14148193,5714327,6633653,72.149121
10,2020,99.28006786,99.17599544,83.88883842,87.84438822,5853719,6663737,82.23313449
10,2021,99.3893435,98.62210042,86.19646254,87.23999348,5894214,6756321,82.64680017
10,2022,99.53478431,99.95568747,85.36481597,87.58147788,5996660,6846950,85.56391417